DATE,SEASON,HOME_TEAM,AWAY_TEAM,HOME_WIN_PROB,WINNER,LOSER
2026-03-15,2025-26,Cleveland Cavaliers,Dallas Mavericks,0.773677408695221,Cleveland Cavaliers,Dallas Mavericks
2026-03-15,2025-26,Milwaukee Bucks,Indiana Pacers,0.6172493100166321,Milwaukee Bucks,Indiana Pacers
2026-03-15,2025-26,New York Knicks,Golden State Warriors,0.6398605704307556,Golden State Warriors,New York Knicks
2026-03-15,2025-26,Oklahoma City Thunder,Minnesota Timberwolves,0.71511310338974,Oklahoma City Thunder,Minnesota Timberwolves
2026-03-15,2025-26,Philadelphia 76ers,Portland Trail Blazers,0.4808327555656433,Philadelphia 76ers,Portland Trail Blazers
2026-03-15,2025-26,Sacramento Kings,Utah Jazz,0.535703718662262,Utah Jazz,Sacramento Kings
2026-03-15,2025-26,Toronto Raptors,Detroit Pistons,0.446171373128891,Detroit Pistons,Toronto Raptors
2026-03-16,2025-26,Atlanta Hawks,Orlando Magic,0.6073014736175537,Atlanta Hawks,Orlando Magic
2026-03-16,2025-26,Boston Celtics,Phoenix Suns,0.6418583989143372,Boston Celtics,Phoenix Suns
2026-03-16,2025-26,Brooklyn Nets,Portland Trail Blazers,0.2892196476459503,Portland Trail Blazers,Brooklyn Nets
2026-03-16,2025-26,Chicago Bulls,Memphis Grizzlies,0.6162429451942444,Chicago Bulls,Memphis Grizzlies
2026-03-16,2025-26,Houston Rockets,Los Angeles Lakers,0.5989627242088318,Los Angeles Lakers,Houston Rockets
2026-03-16,2025-26,Los Angeles Clippers,San Antonio Spurs,0.4579947590827942,San Antonio Spurs,Los Angeles Clippers
2026-03-16,2025-26,New Orleans Pelicans,Dallas Mavericks,0.5572457909584045,Dallas Mavericks,New Orleans Pelicans
2026-03-16,2025-26,Washington Wizards,Golden State Warriors,0.3314647674560547,Golden State Warriors,Washington Wizards
2026-03-17,2025-26,Charlotte Hornets,Miami Heat,0.5340850949287415,Charlotte Hornets,Miami Heat
2026-03-17,2025-26,Denver Nuggets,Philadelphia 76ers,0.5701894760131836,Denver Nuggets,Philadelphia 76ers
