TEAM,CONFERENCE,PLAYOFF_PROB,PLAYIN_QUALIFIED_PROB,CONF_FINALS_PROB,FINALS_PROB,TITLE_PROB
Cleveland Cavaliers,East,1.0,0.0,0.4,0.35,0.3
Oklahoma City Thunder,West,1.0,0.0,0.5,0.4,0.25
Detroit Pistons,East,1.0,0.0,0.4,0.2,0.2
Boston Celtics,East,1.0,0.0,0.3,0.15,0.1
San Antonio Spurs,West,1.0,0.0,0.4,0.15,0.05
Houston Rockets,West,1.0,0.05,0.25,0.1,0.05
Philadelphia 76ers,East,0.65,0.6,0.1,0.05,0.05
New York Knicks,East,1.0,0.0,0.35,0.15,0.0
Denver Nuggets,West,1.0,0.05,0.2,0.1,0.0
Los Angeles Lakers,West,1.0,0.1,0.2,0.1,0.0
Phoenix Suns,West,0.85,0.5,0.1,0.1,0.0
Atlanta Hawks,East,0.85,0.35,0.25,0.05,0.0
Charlotte Hornets,East,0.5,0.5,0.1,0.05,0.0
Minnesota Timberwolves,West,1.0,0.15,0.25,0.05,0.0
Brooklyn Nets,East,0.0,0.0,0.0,0.0,0.0
Chicago Bulls,East,0.0,0.0,0.0,0.0,0.0
Dallas Mavericks,West,0.0,0.0,0.0,0.0,0.0
Golden State Warriors,West,0.5,0.5,0.0,0.0,0.0
Indiana Pacers,East,0.0,0.0,0.0,0.0,0.0
Los Angeles Clippers,West,0.5,0.5,0.1,0.0,0.0
Memphis Grizzlies,West,0.0,0.0,0.0,0.0,0.0
Miami Heat,East,0.8,0.25,0.0,0.0,0.0
Milwaukee Bucks,East,0.0,0.0,0.0,0.0,0.0
New Orleans Pelicans,West,0.0,0.0,0.0,0.0,0.0
Orlando Magic,East,0.6,0.1,0.0,0.0,0.0
Portland Trail Blazers,West,0.15,0.15,0.0,0.0,0.0
Sacramento Kings,West,0.0,0.0,0.0,0.0,0.0
Toronto Raptors,East,0.6,0.2,0.1,0.0,0.0
Utah Jazz,West,0.0,0.0,0.0,0.0,0.0
Washington Wizards,East,0.0,0.0,0.0,0.0,0.0
